"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"31798","","","","RICARDONE_EGRESO_CAMIONES","RicEgrCamTraser","","","","","","","2026-05-17T08:39:09.479227-03:00","","","{""plate"": ""OMBU"", ""eventId"": ""RicEgrCamTraser-13073"", ""deviceCode"": ""RicEgrCamTraser"", ""normalizedPlate"": ""OMBU""}"
"31797","f7b0270a-9462-46cd-be34-6f69fea6de99","","EWU742","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:38:04.648775-03:00","","","{}"
"31796","f4cdebad-5661-407c-93a6-d302ca117841","","VQC330","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","","","","","","","2026-05-17T08:37:34.539214-03:00","","","{}"
"31795","f4cdebad-5661-407c-93a6-d302ca117841","","VQC330","RICARDONE_EGRESO_CAMIONES","RicEgrCamFrente","","","","","","","2026-05-17T08:37:34.532879-03:00","","","{}"
"31794","7a2610e8-382f-4834-a744-ca1ce7fd62aa","","AH530HD","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:37:10.765202-03:00","","","{}"
"31793","08a4776f-279b-495f-a36d-42ad32447e40","","FBJ810","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:35:59.302404-03:00","","","{}"
"31792","92bb204c-13e9-4fb7-93c6-338b60fcea79","","AE880CH","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:34:59.376581-03:00","","","{}"
"31791","62a125d4-a562-49ed-a953-923da810f356","","AH656RW","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:34:29.397389-03:00","","","{}"
"31790","75dd7a52-596b-4534-be9e-dc89dd57bd5d","","AC84406","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T08:34:25.194764-03:00","","","{}"
"31789","75dd7a52-596b-4534-be9e-dc89dd57bd5d","","AC84406","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T08:34:25.190786-03:00","","","{}"
"31788","61b12a92-ec66-459c-90cd-676df2d4997e","","RENA011","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:34:14.766405-03:00","","","{}"
"31787","61b12a92-ec66-459c-90cd-676df2d4997e","","RENA011","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:34:14.756864-03:00","","","{}"
"31786","846ac8ec-44a7-4474-b32c-2da1ec4fb6a5","","AG084QQ","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:31:44.484191-03:00","","","{}"
"31785","846ac8ec-44a7-4474-b32c-2da1ec4fb6a5","","AG084QQ","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:31:44.467614-03:00","","","{}"
"31784","","","","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:31:34.901123-03:00","","","{""plate"": ""AF692H"", ""eventId"": ""RicB1Ingreso-18129"", ""deviceCode"": ""RicB1Ingreso"", ""normalizedPlate"": ""AF692H""}"
"31783","b1cb0b01-91aa-47f0-9015-5678becc1bd2","","OIF041","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:31:09.391486-03:00","","","{}"
"31782","7c327045-a5a6-4306-9e94-4ac4b8f329f5","","HOV845","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:31:04.297019-03:00","","","{}"
"31781","7c327045-a5a6-4306-9e94-4ac4b8f329f5","","HOV845","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:31:04.293166-03:00","","","{}"
"31780","e412be39-7beb-4072-b1ab-166b02f688c0","","BGMD588","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:30:19.471397-03:00","","","{}"
"31779","e412be39-7beb-4072-b1ab-166b02f688c0","","BGMD588","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:30:19.465387-03:00","","","{}"
"31778","be88d473-53c9-4bea-af6e-87c91ae06dd2","","DLV560","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:30:04.414268-03:00","","","{}"
"31777","f5dce5ab-b4bd-4aa9-b2c7-68a77550148d","","AF524BO","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:29:43.512993-03:00","","","{}"
"31776","f5dce5ab-b4bd-4aa9-b2c7-68a77550148d","","AF524BO","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:29:43.505604-03:00","","","{}"
"31775","c4aed07b-af67-4442-8759-51df6ae17c00","","SBQ287","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:29:09.414906-03:00","","","{}"
"31774","","","","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:29:05.906208-03:00","","","{""plate"": ""VGPN30"", ""eventId"": ""RicCal05-193"", ""deviceCode"": ""RicCal05"", ""normalizedPlate"": ""VGPN30""}"
"31773","9a475665-51ff-4129-ba47-5e51c7596955","","KKN300","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:28:29.867731-03:00","","","{}"
"31772","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:28:14.399568-03:00","","","{""plate"": ""HELVETCA"", ""eventId"": ""RicPreIngInTr-27985"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""HELVETCA""}"
"31771","8ba830dc-9587-4e8f-9281-ceffd293ed29","","GNL731","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:27:34.981935-03:00","","","{}"
"31770","8ba830dc-9587-4e8f-9281-ceffd293ed29","","GNL731","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:27:34.9774-03:00","","","{}"
