external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_calado_at,external_salida_at,source_date,no_truckflow_reason,nearest_truckflow_journey_uid,nearest_truckflow_start_time,nearest_truckflow_end_time,nearest_time_delta_min,same_plate_journey_count,same_plate_journey_count_in_period,same_plate_journey_count_in_window,fuzzy_plate_candidates,diagnostic_detail
CTG_10133097842,AD364MY,SOJA,VOLCABLE_PTO_1,2026-06-25T16:16:00,2026-06-25T23:42:00,2026-06-26T02:29:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233121165,HDT439,SOJA,VOLCABLE_PTO_2,2026-06-25T16:25:00,2026-06-26T00:03:00,2026-06-26T02:31:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233110324,AC886EH,SOJA,VOLCABLE_PTO_3,2026-06-25T16:30:00,2026-06-26T00:07:00,2026-06-26T02:32:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233108986,IVH948,SOJA,VOLCABLE_PTO_1,2026-06-25T16:31:00,2026-06-26T00:09:00,2026-06-26T02:35:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233106587,KPG455,SOJA,VOLCABLE_PTO_1,2026-06-25T17:26:00,2026-06-26T00:38:00,2026-06-26T02:37:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133118648,KLC865,SOJA,VOLCABLE_PTO_2,2026-06-25T16:53:00,2026-06-26T00:13:00,2026-06-26T02:39:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133119062,AB810JK,SOJA,VOLCABLE_PTO_3,2026-06-25T17:21:00,2026-06-26T00:33:00,2026-06-26T02:43:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233109557,EFJ994,SOJA,VOLCABLE_PTO_5,2026-06-25T14:52:00,2026-06-25T22:32:00,2026-06-26T02:44:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233129393,FZT345,SOJA,VOLCABLE_PTO_2,2026-06-25T17:37:00,2026-06-26T00:40:00,2026-06-26T02:46:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133092242,JHB403,SOJA,VOLCABLE_PTO_5,2026-06-25T15:15:00,2026-06-25T22:49:00,2026-06-26T02:48:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133111328,AH269XK,SOJA,VOLCABLE_PTO_5,2026-06-25T15:41:00,2026-06-25T23:06:00,2026-06-26T02:49:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233130292,NFJ540,SOJA,VOLCABLE_PTO_2,2026-06-25T17:54:00,2026-06-26T00:48:00,2026-06-26T02:50:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133113280,AB964JF,SOJA,VOLCABLE_PTO_1,2026-06-25T17:50:00,2026-06-26T00:47:00,2026-06-26T02:52:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133112287,SQS896,SOJA,VOLCABLE_PTO_1,2026-06-25T17:59:00,2026-06-26T00:49:00,2026-06-26T02:53:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133122642,AB913BM,SOJA,VOLCABLE_PTO_2,2026-06-25T18:05:00,2026-06-26T00:53:00,2026-06-26T02:54:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133102520,FGF573,SOJA,VOLCABLE_PTO_1,2026-06-25T16:20:00,2026-06-25T23:46:00,2026-06-26T02:56:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133109465,KWK183,SOJA,VOLCABLE_PTO_5,2026-06-25T14:35:00,2026-06-25T22:22:00,2026-06-26T03:04:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233115386,MSC110,SOJA,VOLCABLE_PTO_3,2026-06-25T18:14:00,2026-06-26T00:59:00,2026-06-26T03:07:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133135128,SBP634,SOJA,VOLCABLE_PTO_2,2026-06-25T18:16:00,2026-06-26T01:06:00,2026-06-26T03:12:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133117256,BYI690,SOJA,VOLCABLE_PTO_3,2026-06-25T18:44:00,2026-06-26T01:12:00,2026-06-26T03:13:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233132441,ORJ479,SOJA,VOLCABLE_PTO_3,2026-06-25T18:51:00,2026-06-26T01:14:00,2026-06-26T03:19:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133105243,LDU084,SOJA,VOLCABLE_PTO_5,2026-06-25T15:27:00,2026-06-25T23:02:00,2026-06-26T03:27:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133115027,PDK400,SOJA,VOLCABLE_PTO_5,2026-06-25T16:00:00,2026-06-25T23:18:00,2026-06-26T03:29:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133092704,ENG699,SOJA,VOLCABLE_PTO_3,2026-06-25T17:43:00,2026-06-26T00:41:00,2026-06-26T03:35:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133108875,MVJ247,SOJA,VOLCABLE_PTO_5,2026-06-25T16:04:00,2026-06-25T23:22:00,2026-06-26T03:41:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133131550,LTL241,SOJA,VOLCABLE_PTO_3,2026-06-25T17:27:00,2026-06-26T00:57:00,2026-06-26T03:43:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233124046,FEI083,GIRASOL,VOLCABLE_1,2026-06-25T16:24:00,2026-06-26T03:00:00,2026-06-26T03:44:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133103711,AD898KS,SOJA,VOLCABLE_PTO_5,2026-06-25T16:15:00,2026-06-25T23:37:00,2026-06-26T03:52:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133122278,AH415RB,SOJA,VOLCABLE_PTO_5,2026-06-25T16:17:00,2026-06-25T23:44:00,2026-06-26T04:01:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
