executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R1,c192c24c-9ef5-4a75-b2a8-bcfde41b377d__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.25
R1,c192c24c-9ef5-4a75-b2a8-bcfde41b377d__cycle_1,,PREINGRESO,CALADA,preingreso → calada,43.40
R1,c192c24c-9ef5-4a75-b2a8-bcfde41b377d__cycle_1,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,4.48
R7,c3d0e749-acfb-4bb5-bee9-c198cd4c1791,,INGRESO,PREINGRESO,ingreso → preingreso,1.42
R7,c3d0e749-acfb-4bb5-bee9-c198cd4c1791,,PREINGRESO,CALADA,preingreso → calada,38.49
R7,c3d0e749-acfb-4bb5-bee9-c198cd4c1791,,CALADA,EGRESO,calada → egreso,261.37
R7,7b7580a1-de55-4df2-b7d1-8360b5005e83,,INGRESO,PREINGRESO,ingreso → preingreso,2.00
R7,7b7580a1-de55-4df2-b7d1-8360b5005e83,,CALADA,EGRESO,calada → egreso,24.53
R8,822f53f0-4f2f-4ce3-a305-86ca3e9ede60__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.33
R8,822f53f0-4f2f-4ce3-a305-86ca3e9ede60__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,5.37
R8,822f53f0-4f2f-4ce3-a305-86ca3e9ede60__cycle_1,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,3.92
R8,822f53f0-4f2f-4ce3-a305-86ca3e9ede60__cycle_1,,PREINGRESO,BALANZA_INGRESO,preingreso → balanza ingreso,6.71
R8,822f53f0-4f2f-4ce3-a305-86ca3e9ede60__cycle_1,,INGRESO,LIQUIDO,ingreso → líquido,4.04
R7,7ddcd4a2-f710-4450-a515-a67bbf1ffc95__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,2.25
R7,7ddcd4a2-f710-4450-a515-a67bbf1ffc95__cycle_1,,PREINGRESO,CALADA,preingreso → calada,32.56
R7,7ddcd4a2-f710-4450-a515-a67bbf1ffc95__cycle_1,,CALADA,EGRESO,calada → egreso,16.11
R7,7ddcd4a2-f710-4450-a515-a67bbf1ffc95__cycle_1,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.23
R7,7ddcd4a2-f710-4450-a515-a67bbf1ffc95__cycle_1,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,33.10
R7,2f3fd03d-72f2-4f0b-8e7b-a72b44d7d0fa,,INGRESO,PREINGRESO,ingreso → preingreso,3.08
R7,2f3fd03d-72f2-4f0b-8e7b-a72b44d7d0fa,,PREINGRESO,CALADA,preingreso → calada,31.74
