journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10133322398,SYD643,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T20:52:00,2026-07-03T02:29:00,337,false,,2026-07-02,20:52,2026-07-03,02:29,,RICARDONE
CTG_10233288053,FPF313,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T09:29:00,2026-07-02T15:08:00,339,false,,2026-07-02,09:29,2026-07-02,15:08,,RICARDONE
CTG_10133295813,JXL952,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T02:32:00,2026-07-02T08:13:00,341,false,,2026-07-02,02:32,2026-07-02,08:13,,RICARDONE
CTG_10233334821,RIA146,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T08:26:00,2026-07-03T12:53:00,267,false,,2026-07-03,08:26,2026-07-03,12:53,,RICARDONE
CTG_10233334772,RDB282,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T07:47:00,2026-07-03T12:27:00,280,false,,2026-07-03,07:47,2026-07-03,12:27,,RICARDONE
CTG_10233329146,AA541TW,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T07:06:00,2026-07-03T11:47:00,281,false,,2026-07-03,07:06,2026-07-03,11:47,,RICARDONE
CTG_10133277004,NMG004,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T07:09:00,2026-07-03T12:09:00,300,false,,2026-07-03,07:09,2026-07-03,12:09,,RICARDONE
CTG_10133277681,AH148UK,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T00:20:00,2026-07-03T05:28:00,308,false,,2026-07-03,00:20,2026-07-03,05:28,,RICARDONE
CTG_10233334786,ESI808,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T08:27:00,2026-07-03T13:45:00,318,false,,2026-07-03,08:27,2026-07-03,13:45,,RICARDONE
CTG_10233334797,ANV363,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T08:28:00,2026-07-03T14:13:00,345,false,,2026-07-03,08:28,2026-07-03,14:13,,RICARDONE
CTG_10133312797,IJT755,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-03T05:04:00,2026-07-03T11:00:00,356,false,,2026-07-03,05:04,2026-07-03,11:00,,RICARDONE
CTG_10233363438,RTW199,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-04T07:49:00,2026-07-04T13:19:00,330,false,,2026-07-04,07:49,2026-07-04,13:19,,RICARDONE
CTG_10233356118,OBT877,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-04T08:01:00,2026-07-04T14:00:00,359,false,,2026-07-04,08:01,2026-07-04,14:00,,RICARDONE
CTG_10233343599,AE139WL,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-05T22:11:00,2026-07-05T23:21:00,70,false,,2026-07-05,22:11,2026-07-05,23:21,,RICARDONE
CTG_10133367452,SYD643,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-05T22:27:00,2026-07-05T23:49:00,82,false,,2026-07-05,22:27,2026-07-05,23:49,,RICARDONE
CTG_10233183444,AH345NE,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T18:55:00,2026-06-27T22:09:00,194,false,,2026-06-27,18:55,2026-06-27,22:09,,RICARDONE
CTG_10233184019,FON882,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T20:01:00,2026-06-28T01:43:00,342,false,,2026-06-27,20:01,2026-06-28,01:43,,RICARDONE
CTG_10233182118,GQC488,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T19:19:00,2026-06-28T01:12:00,353,false,,2026-06-27,19:19,2026-06-28,01:12,,RICARDONE
CTG_10233182263,SMC098,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T19:19:00,2026-06-28T01:17:00,358,false,,2026-06-27,19:19,2026-06-28,01:17,,RICARDONE
CTG_10233176778,FKJ492,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:39:00,2026-06-29T02:04:00,205,false,,2026-06-28,22:39,2026-06-29,02:04,,RICARDONE
CTG_10233189371,OKR140,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T23:43:00,2026-06-29T03:09:00,206,false,,2026-06-28,23:43,2026-06-29,03:09,,RICARDONE
CTG_10233184873,ROX620,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T04:27:00,2026-06-28T08:11:00,224,false,,2026-06-28,04:27,2026-06-28,08:11,,RICARDONE
